MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000031,BUENAVISTA,BUENAVISTA
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000049,MORAY ALTO,MORAY
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000146,COLEGIO BASICO MEDIA LUNA,MEDIA LUNA
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000090,CUCAITA,CUCAITA
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000065,TABOR,TABOR
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000073,VIJAGUAL,CAMPO GRANDE
BRICEÑO,315106000124,INSTITUCIÓN EDUCATIVA TECNICA MANUEL BRICEÑO,215106000171,MIGUEL ANTONIO LETRADO,BETANIA
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000228,SAN PEDRO,SAN PEDRO
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000236,SANTA ELENA,CONCEPCION
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000147,CONCEPCION,CONCEPCION
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000058,SABANETA BAJO,SABANETA
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000023,EL TORO,EL TORO
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000317,HONDA,HONDA
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000198,SANTA ROSA,SANTA ROSA
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000091,DOMINGUITO,DOMINGUITO
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000066,PATIÑO,PATIÑO
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000201,CAMPOHERMOSO,CAMPOHERMOSO
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000121,CORRALES,CORRALES
BUENAVISTA,115109000363,INSTITUCIÓN EDUCATIVA JOSE MARIA SILVA SALAZAR,215109000341,NARANJITOS,PATIÑO
